basområde,tid,PCA_Faktor_1,PCA_Faktor_2,PCA_Faktor_3
Alsätter västra,2024,9.035,-3.518,-1.164
Alsätter östra,2024,8.337,2.719,-0.299
Arnebo,2024,-1.093,-0.203,0.843
Askeby,2024,-2.483,0.273,-1.109
Askeby glesbygd,2024,-2.317,0.423,-0.155
Aspnäset,2024,-0.076,-0.172,3.091
Bankekind,2024,-2.426,0.54,-0.222
Bankekind norra glesbygd,2024,-1.374,0.481,0.328
Bankekind södra glesbygd,2024,-1.331,0.413,0.37
Barhäll,2024,-1.707,0.606,-1.249
Berg,2024,-2.579,0.066,-0.652
Berg norra glesbygd,2024,-1.038,0.352,0.723
Berg södra glesbygd,2024,-2.179,0.677,-0.063
Berga glesbygd,2024,-0.618,0.723,1.391
Bestorp norra glesbygd,2024,0.173,1.339,1.138
Bestorp södra glesbygd,2024,-1.445,0.786,0.319
Bestorp västra,2024,-0.817,0.379,2.162
Bestorp östra,2024,0.17,1.539,0.512
Bjärka-Säby,2024,-0.943,-0.522,0.652
Björkeberg glesbygd,2024,-1.449,1.769,0.737
Björkeberg kyrkby,2024,-0.847,1.16,-0.687
Björnkärr,2024,-1.248,0.97,0.35
Blästad,2024,-1.612,0.113,1.014
Brokind,2024,-3.012,0.18,-0.676
Brokind norra glesbygd,2024,-2.502,0.081,1.245
Brokind södra glesbygd,2024,-2.064,0.232,-0.28
Brunnby-Heda,2024,-1.23,0.7,-0.298
Djurgården centrum,2024,3.598,-5.92,-5.169
Duvkullen,2024,1.248,0.058,0.413
Ebbepark,2024,2.412,-3.522,-1.656
Ekholmen centrum,2024,3.312,0.172,1.862
Ektuna,2024,-3.385,0.677,0.268
Ekängen glesbygd,2024,-0.0,-0.014,0.437
Fjälla,2024,-1.892,0.157,0.082
Flistad kyrkby,2024,-0.359,-2.087,-0.238
Folkets Park,2024,-0.426,-1.201,-0.451
Folkungavallen,2024,3.586,-6.456,-4.876
Fridhem,2024,3.146,-3.188,0.447
Fridsberg,2024,-3.408,0.054,-1.505
Gamla Ekkällan,2024,2.235,-2.941,0.795
Gamla Gottfridsberg,2024,3.564,-1.46,0.336
Gamla Linghem,2024,-1.529,0.283,0.486
Gamla Malmslätt,2024,-0.929,-0.198,0.709
Gamla Ramshäll,2024,-0.467,-0.691,0.668
Gamla Tannefors,2024,2.58,-0.492,1.48
Gamla Valla,2024,3.34,-4.692,-0.96
Gamla Vimanshäll,2024,-1.67,0.261,-0.932
Gammalkil glesbygd,2024,-1.708,0.895,0.524
Gistad,2024,-0.243,0.398,0.343
Gistad glesbygd,2024,-1.993,0.107,0.412
Gullberg,2024,-2.772,1.445,-1.173
Gälstad-Lundby,2024,-2.766,0.821,-1.171
Hackefors nordväst,2024,-2.685,0.151,-0.877
Hagaberg,2024,-1.899,-1.566,0.738
Haninge västra,2024,-2.099,0.039,-0.202
Haninge östra,2024,2.617,1.217,0.242
Harvestad östra,2024,-2.413,0.899,-2.046
Hejdegården norra,2024,3.33,-1.552,0.845
Himna södra,2024,-2.757,0.659,-0.494
Hjulsbro östra,2024,-3.499,1.002,-0.632
Holmen,2024,-1.447,1.299,-0.7
Hunneberg,2024,3.146,-3.104,1.558
Innerstaden nordost,2024,3.052,-1.394,1.261
Innerstaden nordväst,2024,2.109,-1.943,0.714
Innerstaden sydost,2024,1.926,-2.019,1.483
Innerstaden sydväst,2024,2.006,-1.551,2.795
Johannelund västra,2024,4.138,-0.715,0.907
Johannesborg,2024,2.604,-3.441,1.038
Jägarvallen,2024,-1.962,0.837,-1.32
Kanaljorden,2024,-0.606,0.639,-0.679
Kanberget,2024,1.146,-2.011,0.946
Kolbyttemon,2024,-2.144,0.769,-1.726
Kränge,2024,-2.882,0.831,-1.732
Kungsberget,2024,1.788,-2.378,0.172
Kvinneby,2024,0.579,-0.282,2.843
Källhemsområdet,2024,-2.632,0.421,0.232
Kärna-Ledberg glesbygd,2024,-2.294,0.29,-0.172
Lambohov västra,2024,-3.896,-0.407,-0.579
Landeryd norra,2024,3.544,-1.226,4.424
Landeryd västra glesbygd,2024,0.702,0.404,1.795
Landeryd östra glesbygd,2024,-2.253,0.605,0.26
Ledberg kyrkby,2024,-3.002,0.973,-2.307
Lilla Mjärdevi,2024,2.46,0.089,0.001
Linghem norra glesbygd,2024,-1.606,0.564,0.255
Linghem södra glesbygd,2024,-1.087,0.804,0.504
Ljungsbro centrum,2024,2.253,0.696,0.955
Ljungsbro mellersta glesbygd,2024,-0.893,0.409,0.626
Ljungsbro norra,2024,-2.908,0.513,-0.683
Ljungsbro norra glesbygd,2024,-1.846,0.397,-0.162
Ljungsbro södra glesbygd,2024,-1.352,1.102,0.554
Majelden västra,2024,7.648,1.169,0.977
Majelden östra,2024,4.118,0.227,0.207
Malmslätt östra glesbygd,2024,-1.667,0.478,1.512
Manstorp,2024,-1.373,0.203,-0.602
Mariedal,2024,-1.056,-0.138,0.779
Maspelösa,2024,-2.567,0.86,-1.959
Munkgärdet,2024,2.206,-1.547,0.05
Munkhagen,2024,1.294,-1.272,2.705
Möjetorp,2024,-2.127,-0.045,-0.13
Nedre Ullstämma,2024,-0.84,0.978,-0.279
Nedre Vasastaden,2024,1.773,-2.284,1.186
Norrberga,2024,-1.707,0.266,-1.252
Nygård,2024,9.066,3.809,-0.178
Nykil,2024,-1.611,0.2,0.543
Nykil norra glesbygd,2024,-1.413,0.903,0.298
Nykil södra glesbygd,2024,-1.695,0.138,0.122
Näsby,2024,-4.231,0.846,-1.448
Rappestad,2024,-2.848,0.66,-0.908
Rappestad glesbygd,2024,-2.21,0.908,0.255
Ringstorp,2024,-0.86,2.214,0.223
Risbrinken,2024,2.923,-1.551,1.82
Rosendal,2024,12.499,6.782,-1.195
Roxenbaden,2024,-2.289,-0.328,0.386
Roxtuna,2024,-1.416,0.478,-0.047
Rystads kyrkby,2024,-0.715,0.466,-0.506
Råberga,2024,1.82,-1.102,-0.244
Sjögestad,2024,-1.086,0.75,-0.664
Sjögestad glesbygd,2024,-1.018,-0.067,-0.334
Skarpan,2024,1.997,-0.58,0.534
Skeda Udde,2024,-2.809,0.627,-0.769
Skeda kyrkby,2024,0.646,2.729,1.482
Skeda norra glesbygd,2024,-1.976,0.714,-0.31
Skeda södra glesbygd,2024,-2.54,0.527,-0.832
Skogsvallen,2024,2.143,-2.746,-0.856
Skonberga,2024,-3.358,0.434,-0.125
Slaka glesbygd,2024,-1.429,0.642,0.473
Slaka västra,2024,-3.515,0.319,-1.495
Slaka östra,2024,-3.184,-0.046,-1.907
Slestad,2024,2.434,0.258,-0.571
Slycke,2024,-1.408,1.582,-0.667
Sockenmarken,2024,-0.895,0.214,-0.001
Solhaga,2024,6.471,-0.33,-0.965
Steninge,2024,1.686,-2.229,-1.411
Stensätter,2024,-3.318,0.792,-1.907
Stolplyckan,2024,3.693,-0.348,0.638
Sturefors glesbygd,2024,-1.95,0.141,-0.354
Sturefors norra,2024,-1.694,0.083,0.456
Sturefors södra,2024,-3.193,0.507,-1.09
Stångebro östra,2024,18.951,5.741,-2.712
Svartmåla-Unön,2024,-1.697,-0.289,0.973
Sätra,2024,-2.104,-0.159,-0.792
Sättuna,2024,-3.17,1.007,-0.996
Sågareholmen,2024,-0.993,-2.281,-0.834
Södra Ekkällan,2024,0.722,-2.35,-1.207
Sörgården,2024,12.6,6.178,-1.359
T 1 norra,2024,2.395,-2.29,0.275
T 1 södra,2024,-0.311,-0.274,-0.521
Tallboda glesbygd,2024,-1.472,0.69,-0.593
Tallboda norra,2024,-1.518,1.001,-0.617
Tallboda södra,2024,-0.52,0.717,-0.277
Tinneröhöjden,2024,-0.825,-1.903,1.327
Tokarp,2024,-1.94,0.799,0.029
Tornhagen,2024,0.288,-1.821,0.33
Ullstämma södra,2024,-3.1,0.953,-2.186
Ullstämma västra,2024,-1.698,-0.208,0.825
Ulrika,2024,1.652,1.32,0.789
Ulrika glesbygd,2024,0.321,0.853,0.625
Universitetsjukhuset,2024,-1.989,-1.096,1.712
Universitetsområdet,2024,7.617,-6.121,-2.526
Vallastaden,2024,4.926,-3.987,-0.542
Vidingsjö nordost,2024,-2.925,0.467,-0.678
Vidingsjö nordväst,2024,-3.189,0.176,-0.276
Vidingsjö sydost,2024,-1.315,-0.233,1.111
Vidingsjö sydväst,2024,-0.799,-0.621,2.321
Vikingstad glesbygd,2024,-1.695,0.565,0.564
Vikingstad norra,2024,-1.956,0.291,0.232
Vikingstad södra,2024,-1.146,0.273,-0.437
Vreta,2024,-0.538,-1.245,2.103
Västerberga,2024,9.317,3.696,-1.008
Västerlösa,2024,-1.595,1.529,1.078
Västerlösa glesbygd,2024,-2.016,0.475,-0.016
Vårdsbergs kors,2024,-0.698,1.956,1.272
Änggården,2024,1.126,0.896,-0.742
Åbylund,2024,4.449,-1.819,1.411
Åleryd,2024,-1.123,-0.419,0.902
Ånestad norra,2024,-2.802,0.212,-1.282
Ånestad södra,2024,-2.769,0.138,-0.521
Örtomta,2024,-1.996,1.023,-0.621
Örtomta västra glesbygd,2024,-1.819,0.935,0.808
Örtomta östra glesbygd,2024,-0.588,0.909,1.701
Österberga norra,2024,7.48,1.673,-0.467
Österberga södra,2024,-2.473,0.191,0.443
Östernäs,2024,-3.072,1.046,-2.151
Övre Vasastaden västra,2024,5.638,-0.152,0.691
Övre Vasastaden östra,2024,3.916,-2.331,0.206
Alsätter västra,2023,9.046,-3.549,-1.248
Alsätter östra,2023,8.372,2.412,-0.941
Arnebo,2023,-1.273,-0.17,0.945
Askeby,2023,-2.527,0.284,-0.914
Askeby glesbygd,2023,-2.373,0.185,-0.057
Aspnäset,2023,0.009,-0.144,2.703
Bankekind,2023,-2.504,0.594,-0.465
Bankekind norra glesbygd,2023,-1.588,0.473,0.42
Bankekind södra glesbygd,2023,-1.382,0.363,-0.03
Barhäll,2023,-1.639,0.836,-1.379
Berg,2023,-2.6,0.152,-0.58
Berg norra glesbygd,2023,-0.701,0.43,0.914
Berg södra glesbygd,2023,-2.514,0.6,-0.285
Berga glesbygd,2023,-0.707,0.907,1.116
Bestorp norra glesbygd,2023,1.269,1.88,0.325
Bestorp södra glesbygd,2023,-1.715,0.901,0.147
Bestorp västra,2023,-1.09,0.818,2.07
Bestorp östra,2023,-0.65,1.291,0.15
Bjärka-Säby,2023,-1.028,-0.638,0.321
Björkeberg glesbygd,2023,-1.115,2.149,0.562
Björkeberg kyrkby,2023,-1.074,1.143,-0.69
Björnkärr,2023,-1.446,0.809,0.328
Blästad,2023,-1.461,0.492,0.983
Brokind,2023,-2.743,0.298,-0.343
Brokind norra glesbygd,2023,-1.468,0.041,1.596
Brokind södra glesbygd,2023,-2.164,0.023,-0.147
Brunnby-Heda,2023,-1.251,0.778,-0.322
Djurgården centrum,2023,3.473,-5.885,-5.342
Duvkullen,2023,0.965,-0.151,0.33
Ebbepark,2023,2.111,-3.692,-1.597
Ekholmen centrum,2023,3.496,0.029,1.743
Ektuna,2023,-3.392,0.534,0.211
Ekängen glesbygd,2023,-0.255,0.133,0.944
Fjälla,2023,-1.918,0.325,0.776
Flistad kyrkby,2023,0.874,-2.112,0.265
Folkets Park,2023,-0.369,-1.319,-0.492
Folkungavallen,2023,3.527,-6.34,-5.079
Fridhem,2023,3.193,-3.298,0.521
Fridsberg,2023,-3.336,0.165,-1.429
Gamla Ekkällan,2023,2.648,-2.688,0.992
Gamla Gottfridsberg,2023,3.591,-1.722,0.462
Gamla Linghem,2023,-1.431,0.307,0.397
Gamla Malmslätt,2023,-0.899,-0.225,0.515
Gamla Ramshäll,2023,-0.718,-0.981,0.64
Gamla Tannefors,2023,2.663,-0.622,1.173
Gamla Valla,2023,3.173,-4.625,-0.81
Gamla Vimanshäll,2023,-1.929,0.203,-0.794
Gammalkil glesbygd,2023,-1.926,0.977,0.627
Gistad,2023,-0.471,0.327,0.076
Gistad glesbygd,2023,-2.071,-0.094,-0.04
Gullberg,2023,-2.479,1.275,-1.259
Gälstad-Lundby,2023,-2.594,0.752,-1.214
Hackefors nordväst,2023,-2.543,0.504,-0.861
Hagaberg,2023,-1.772,-1.519,1.01
Haninge västra,2023,-1.91,0.009,-0.145
Haninge östra,2023,2.674,1.448,0.261
Harvestad östra,2023,-2.446,0.72,-2.014
Hejdegården norra,2023,3.028,-1.674,0.924
Himna södra,2023,-2.83,0.527,-0.588
Hjulsbro östra,2023,-3.294,0.742,-0.65
Holmen,2023,-1.71,1.447,-0.777
Hunneberg,2023,3.094,-3.065,1.422
Innerstaden nordost,2023,2.97,-1.539,1.356
Innerstaden nordväst,2023,2.393,-1.998,0.599
Innerstaden sydost,2023,1.883,-1.959,1.807
Innerstaden sydväst,2023,2.077,-1.475,2.586
Johannelund västra,2023,4.122,-0.858,0.847
Johannesborg,2023,2.43,-3.374,1.198
Jägarvallen,2023,-2.345,0.688,-0.992
Kanaljorden,2023,0.521,1.369,-0.096
Kanberget,2023,1.031,-2.004,0.881
Kolbyttemon,2023,-2.642,0.496,-1.663
Kränge,2023,-2.8,1.048,-1.598
Kungsberget,2023,2.101,-2.374,0.232
Kvinneby,2023,0.758,-0.111,2.78
Källhemsområdet,2023,-2.725,0.444,0.008
Kärna-Ledberg glesbygd,2023,-2.356,0.205,-0.327
Lambohov västra,2023,-4.024,-0.118,-0.838
Landeryd norra,2023,3.864,-0.336,4.928
Landeryd västra glesbygd,2023,0.806,0.459,0.739
Landeryd östra glesbygd,2023,-1.976,0.571,0.237
Ledberg kyrkby,2023,-2.668,1.074,-1.916
Lilla Mjärdevi,2023,2.697,0.111,-0.402
Linghem norra glesbygd,2023,-1.63,0.732,0.405
Linghem södra glesbygd,2023,-0.722,1.138,0.727
Ljungsbro centrum,2023,2.268,0.506,1.251
Ljungsbro mellersta glesbygd,2023,-1.013,0.174,0.693
Ljungsbro norra,2023,-2.97,0.723,-0.596
Ljungsbro norra glesbygd,2023,-1.701,0.493,-0.22
