År;Månad;Rapportvy;Autogenererad_Fakta;Färdig_Analystext;Robot_Fakta
2025;12;Befolkning;;Folkmängden i Linköping minskade med 115 personer i december 2025 ned till 168 716 personer. Jämfört med föregående årsskifte ökade dock folkmängden med 681 personer under året. Antalet födda uppgick till 1 498 under 2025 medan antalet döda uppgick 1 270. Kommunen hade därmed ett flyttningsöverskott på 228 personer under 2026. Jämfört med kommunens befolkningsprognos bodde det 65 personer färre än förväntat i kommunen vid årets slut. Eventuella avvikelser mot andra redovisade uppgifter för helåret 2025 beror på att SCB infört sekretessgranskning enligt CKM-metoden från och med 2025 för den officiella befolkningsstatistiken.;F
2025;1;Flyttning;Under januari 2025 registrerades 865 inflyttningar till Linköping och 821 utflyttningar. Detta gav ett flyttnetto på +44 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +84 personer och utflyttningen med +8 personer.;Under januari 2025 registrerades 865 inflyttningar till Linköping och 821 utflyttningar. Detta gav ett flyttnetto på +44 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +84 personer och utflyttningen med +8 personer.;A
2025;2;Flyttning;Under februari 2025 registrerades 613 inflyttningar till Linköping och 588 utflyttningar. Detta gav ett flyttnetto på +25 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -28 personer och utflyttningen med +23 personer.;Under februari 2025 registrerades 613 inflyttningar till Linköping och 588 utflyttningar. Detta gav ett flyttnetto på +25 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -28 personer och utflyttningen med +23 personer.;A
2025;3;Flyttning;Under mars 2025 registrerades 483 inflyttningar till Linköping och 476 utflyttningar. Detta gav ett flyttnetto på +7 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -19 personer och utflyttningen med -121 personer.;Under mars 2025 registrerades 483 inflyttningar till Linköping och 476 utflyttningar. Detta gav ett flyttnetto på +7 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -19 personer och utflyttningen med -121 personer.;A
2025;4;Flyttning;Under april 2025 registrerades 476 inflyttningar till Linköping och 548 utflyttningar. Detta gav ett flyttnetto på -72 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +35 personer och utflyttningen med -73 personer.;Under april 2025 registrerades 476 inflyttningar till Linköping och 548 utflyttningar. Detta gav ett flyttnetto på -72 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +35 personer och utflyttningen med -73 personer.;A
2025;5;Flyttning;Under maj 2025 registrerades 534 inflyttningar till Linköping och 591 utflyttningar. Detta gav ett flyttnetto på -57 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +41 personer och utflyttningen med -8 personer.;Under maj 2025 registrerades 534 inflyttningar till Linköping och 591 utflyttningar. Detta gav ett flyttnetto på -57 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +41 personer och utflyttningen med -8 personer.;A
2025;6;Flyttning;Under juni 2025 registrerades 660 inflyttningar till Linköping och 1322 utflyttningar. Detta gav ett flyttnetto på -662 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -115 personer och utflyttningen med +17 personer.;Under juni 2025 registrerades 660 inflyttningar till Linköping och 1322 utflyttningar. Detta gav ett flyttnetto på -662 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -115 personer och utflyttningen med +17 personer.;A
2025;7;Flyttning;;1 044 personer flyttade från Linköping under juli 2025, vilket var 25 fler än i juli 2024. 787 personer flyttade till kommunen, vilket gav ett negativt flyttningsnetto på 257 personer. Det är normal säsongsvariation för en studentstad som Linköping att det är ett tydligt negativt flyttningsnetto under juni och juli.;F
2025;8;Flyttning;;Under augusti 2025 flyttade 2 564 personer till Linköping, fördelade på 258 från andra kommuner i Östergötlands län, 2 007 personer från kommuner i andra län och 295 invandrade från andra länder. Det är normal säsongsvariation för en stydentstad som Linköping att det är en omfattande inflyttning till kommunen under augusti månad. 1 431 personer flyttade från kommunen under augusti. Något färre flyttade både in- och ut från kommunens under augusti 2025 jämfört med 2024. Det totala flyttningsöverskottet uppgick till 1 133, vilket var fyra färre än för motsvarande månad året före.;F
2025;9;Flyttning;Under september 2025 registrerades 1141 inflyttningar till Linköping och 812 utflyttningar. Detta gav ett flyttnetto på +329 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +99 personer och utflyttningen med -15 personer.;Under september 2025 registrerades 1141 inflyttningar till Linköping och 812 utflyttningar. Detta gav ett flyttnetto på +329 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +99 personer och utflyttningen med -15 personer.;A
