Nr,Rent_Namn,Målvakt,Nationalitet,Alias,Född,Avled,Klubb,Tid,Mat,Mål,Anteckningar
7593,"ALBORNOZ, MIIKO",Nej,SWE,,1990-11-30,,IF BROMMAPOJKARNA,2009-2010,47,1,
7593,"ALBORNOZ, MIIKO",Nej,SWE,,1990-11-30,,MALMÖ FF,2011-2014,68,4,
1642,"ALBRECHTSSON, OSCAR",Nej,SWE,,1910-11-12,1984-06-16,AIK,1936,1,0,
4387,"ALDORSSON, CONNY",Nej,SWE,,1945-01-13,2023-10-17,GAIS,1970-1974,78,17,SEN NORRBY 75
8945,"ALEESAMI, HAITAM",Nej,NOR,,1991-07-31,,IFK GÖTEBORG,2015-2016,45,2,
6345,"ALEJNIKOV, SERGEJ",Nej,BLR,,1961-11-07,,IK ODDEVOLD,1996,5,0,
9837,"ALEMAYEHU MULUGETA, ISAK",Nej,SWE,,2006-10-11,,DJURGÅRDENS IF,2022,1,0,
9030,ALEX AZEVEDO,Nej,BRA,ALEXSS.MEDEIROS DE AZEV,1990-08-21,,HAMMARBY IF,2016,28,5,
8065,ALEX PEREIRA,Nej,BRA,ALESSANDRO SILVA PEREIRA,1982-05-15,,ÖRGRYTE IS,2009,17,2,
8065,ALEX PEREIRA,Nej,BRA,ALESSANDRO SILVA PEREIRA,1982-05-15,,SYRIANSKA FC,2011-2013,49,0,
8065,ALEX PEREIRA,Nej,BRA,ALESSANDRO SILVA PEREIRA,1982-05-15,,AIK,2015,14,2,
6593,"ALEXANDERSSON, DANIEL",Nej,SWE,,1978-12-03,,HALMSTADS BK,1998-1999,11,1,
6593,"ALEXANDERSSON, DANIEL",Nej,SWE,,1978-12-03,,IF ELFSBORG,2004-2007,100,14,
6593,"ALEXANDERSSON, DANIEL",Nej,SWE,,1978-12-03,,IFK GÖTEBORG,2008-2009,21,0,
6442,"ALEXANDERSSON, JOAKIM",Nej,SWE,,1976-01-27,,IF ELFSBORG,1997-2005,175,7,
4392,"ALEXANDERSSON, LENNART",Nej,SWE,,1947-03-31,,HALMSTADS BK,1972,21,0,FR VESSIGEBRO
5455,"ALEXANDERSSON, NICLAS",Nej,SWE,,1971-12-29,,HALMSTADS BK,1989-1995,118,19,
5455,"ALEXANDERSSON, NICLAS",Nej,SWE,,1971-12-29,,IFK GÖTEBORG,1996-2009,176,32,
9075,"ALEXANDERSSON, NOAH",Nej,SWE,,2001-09-30,,IFK GÖTEBORG,2019-2021,12,0,
9171,"ALEXANDERSSON, SIMON",Nej,SWE,,1992-11-23,,ATHLETIC FC ESKILSTU,2017,18,1,
4393,"ALEXANDERSSON, ULF",Nej,SWE,,1944-06-27,,HALMSTADS BK,1972,8,0,"EGEN, KVIBILLE BK"
7923,ALEXANDRE MATAO,Nej,BRA,ALEXANDRE APARECIDO ..,1986-03-26,,GAIS,2008,8,0,RECHE BERNARDES
0307,"ALÉ, ANDERS",Ja,SWE,,1967-12-08,,VÄSTERÅS SK,1997,8,0,
8040,"ALFA, YAKUBU",Nej,NIG,,1990-12-31,,HELSINGBORGS IF,2009,2,0,
9753,"ALFONSI, OLIVER",Nej,SWE,,2003-06-03,,VARBERGS BOIS,2021-2023,51,5,
1000,"ALFREDSSON, AXEL",Nej,SWE,MASSA,1902-05-02,1966-08-09,HELSINGBORGS IF,1925-1929,97,8,
1000,"ALFREDSSON, AXEL",Nej,SWE,MASSA,1902-05-02,1966-08-09,AIK,1929-1935,91,11,
3736,"ALFTBERG, HANS",Nej,SWE,PICKO,1944-09-04,,IK SIRIUS,1969,14,1,
9196,"ALHO, NIKOLAJ",Nej,FIN,,1993-03-12,,HALMSTADS BK,2017,21,1,
9166,"ALI, FERID",Nej,SWE,,1992-04-07,,ATHLETIC FC ESKILSTU,2017-2019,30,3,
9331,"ALI, HUSSEIN",Nej,SWE,,2002-03-01,,ÖREBRO SK,2019-2021,52,0,
9927,"ALI, TAHA",Nej,SWE,,1998-07-01,,ÖREBRO SK,2021,2,0,
9927,"ALI, TAHA",Nej,SWE,,1998-07-01,,HELSINGBORGS IF,2022,29,3,
9927,"ALI, TAHA",Nej,SWE,,1998-07-01,,MALMÖ FF,2023,30,6,
8051,"ALI KHAN, MOHAMMED",Nej,SWE,LIND MAK,1988-11-01,,BK HÄCKEN,2009-2013,61,1,OFF ÄNDR FDAT 860121
8051,"ALI KHAN, MOHAMMED",Nej,SWE,LIND MAK,1988-11-01,,HALMSTADS BK,2015,29,0,
8562,"ALIEV, ALIBEK",Nej,SWE,,1996-08-16,,DALKURD FF,2018,2,0,
8562,"ALIEV, ALIBEK",Nej,SWE,,1996-08-16,,VARBERGS BOIS,2020,9,0,
8471,"ALIMI, ARMEND",Nej,MAK,,1987-12-11,,ÖREBRO SK,2012,17,0,
9627,"ALITI, FIDAN",Nej,KOS,,1993-10-03,,KALMAR FF,2019-2020,47,4,
4378,"ALKEBY, BJÖRN",Ja,SWE,,1952-07-17,,DJURGÅRDENS IF,1971-1981,242,0,
9926,"ALLAIN, BOBBY",Ja,FRA,,1991-11-28,,ÖREBRO SK,2021,23,0,
7882,"ALLANSSON, JOEL",Nej,SWE,,1992-11-03,,IFK GÖTEBORG,2011-2014,61,2,
7882,"ALLANSSON, JOEL",Nej,SWE,,1992-11-03,,HALMSTADS BK,2021-2023,58,0,
1097,"ALLARD, EVALD",Nej,SWE,,1901-05-07,1961-06-12,AIK,1927,2,0,
3013,"ALLARD, JÖRGEN",Nej,SWE,,1938-02-04,2021-05-07,IFK ESKILSTUNA,1958,8,1,FR GUIF
4428,"ALLBÄCK, DAN",Nej,SWE,,1956-02-03,,ÖRGRYTE IS,1976-1982,36,2,
6041,"ALLBÄCK, MARCUS",Nej,SWE,,1973-07-05,,ÖRGRYTE IS,1993-2009,172,62,
3741,"ALLBÄCK, STEFAN",Nej,SWE,,1947-09-15,,ÖRGRYTE IS,1967-1976,127,12,UTV 2015-DEC 21
5510,"ALLEN, JOHN",Nej,WAL,,1964-11-14,,MALMÖ FF,1989,5,1,
5510,"ALLEN, JOHN",Nej,WAL,,1964-11-14,,VÄSTRA FRÖLUNDA IF,1989,8,1,
5127,"ALLEN, KENNY",Ja,ENG,,1948-01-12,,HALMSTADS BK,1983,11,0,EG KENNETH
6222,"ALM, ANDREAS",Nej,SWE,,1973-06-19,,HAMMARBY IF,1995,11,1,
6222,"ALM, ANDREAS",Nej,SWE,,1973-06-19,,AIK,2000-2003,44,20,
4404,"ALM, LARS",Nej,SWE,,1954-04-01,,LANDSKRONA BoIS,1975,2,0,
4404,"ALM, LARS",Nej,SWE,,1954-04-01,,AIK,1979,11,1,
9425,"ALM, RASMUS",Nej,SWE,,1995-08-17,,IF BROMMAPOJKARNA,2018,8,0,
9425,"ALM, RASMUS",Nej,SWE,,1995-08-17,,IF ELFSBORG,2019-2022,89,23,
9981,"ALMADJED, SUMAR",Nej,SWE,,1996-03-13,,HELSINGBORGS IF,2022,1,0,
3728,"ALMBJERG, GÖSTA",Nej,SWE,,1942-02-26,,GAIS,1969-1970,38,0,FD DANMARK
7558,"ALMEBÄCK, MIKAEL",Nej,SWE,,1988-04-04,,IF BROMMAPOJKARNA,2007,3,0,
7558,"ALMEBÄCK, MIKAEL",Nej,SWE,,1988-04-04,,ÖREBRO SK,2009-2021,215,0,
7440,"ALMEIDA, AILTON",Nej,BRA,,1984-08-20,,ÖRGRYTE IS,2004-2006,63,26,AILTON JOSé ALMEIDA
2383,"ALMÉN, SVEN-ERIK",Nej,SWE,,1921-03-19,1972-12-18,LUDVIKA FFI,1945,1,0,
5347,"ALMGREN, ANDERS",Ja,SWE,,1968-12-27,,DJURGÅRDENS IF,1988-1992,70,0,
5347,"ALMGREN, ANDERS",Ja,SWE,,1968-12-27,,AIK,1997,11,0,
1641,"ALMGREN, ERIK",Nej,SWE,JERKA,1908-01-28,1989-08-22,AIK,1935-1944,197,4,
5542,"ALMGREN, MATS",Nej,SWE,,1964-02-28,,IFK NORRKÖPING,1988-1991,37,2,
2350,"ALMQUIST, KNUT",Nej,SWE,,1924-01-13,2017-12-26,LANDSKRONA BoIS,1949,19,12,FR HÄSSLEHOLM
2350,"ALMQUIST, KNUT",Nej,SWE,,1924-01-13,2017-12-26,GAIS,1950-1954,48,20,
3037,"ALMQVIST, ELMER",Ja,SWE,KUBBEN,1927-01-05,2011-01-06,JÖNKÖPINGS SÖDRA IF,1954,4,0,
9224,"ALMQVIST, PONTUS",Nej,SWE,,1999-07-10,,IFK NORRKÖPING,2017-2020,28,5,
4353,"ALMQVIST, REINE",Nej,SWE,,1949-04-12,,IFK GÖTEBORG,1967-1979,111,54,
4353,"ALMQVIST, REINE",Nej,SWE,,1949-04-12,,ÅTVIDABERGS FF,1973-1975,70,35,
4353,"ALMQVIST, REINE",Nej,SWE,,1949-04-12,,IFK SUNDSVALL,1976,12,2,
2351,"ALMQVIST, ROLF",Nej,SWE,ALMA,1924-07-16,2004-04-20,GAIS,1946-1955,34,9,FR VIRGO; REINES FAR
3059,"ALMQVIST, ROLF",Nej,SWE,,1928-05-12,2008-05-09,IFK GÖTEBORG,1952-1955,25,0,
3053,"ALMROTH, OVE",Nej,SWE,KJELL-OVE,1936-07-02,2016-05-18,VÄSTERÅS SK,1957,1,0,
2397,"ALPSTAM, LENNART",Nej,SWE,,1921-09-27,2011-04-29,ÖREBRO SK,1947-1953,42,2,
8214,"ALRIKSSON, JOAKIM",Nej,SWE,,1992-08-18,,DJURGÅRDENS IF,2010-2011,5,0,
8861,"ALSANATI, ANDRÉ",Nej,SWE,,2000-01-06,,IK SIRIUS,2023,20,3,
4385,"ALTEMARK, ROGER",Nej,SWE,,1952-08-22,,IF ELFSBORG,1973-1975,11,1,
4385,"ALTEMARK, ROGER",Nej,SWE,,1952-08-22,,ÖRGRYTE IS,1981,1,0,
3040,"ALTHIN, OLLE",Nej,SWE,,1929-01-16,2018-06-27,IFK MALMÖ,1957,1,0,
9633,"ALVAREZ, KEVIN",Nej,HOND,,1996-08-03,,IFK NORRKÖPING,2019-2021,6,0,
6567,"ALVBÅGE, JOHN",Ja,SWE,,1982-08-10,,VÄSTRA FRÖLUNDA IF,2000,12,0,
6567,"ALVBÅGE, JOHN",Ja,SWE,,1982-08-10,,ÖREBRO SK,2003-2011,158,0,
6567,"ALVBÅGE, JOHN",Ja,SWE,,1982-08-10,,IFK GÖTEBORG,2012-2016,131,0,
6567,"ALVBÅGE, JOHN",Ja,SWE,,1982-08-10,,IK SIRIUS,2019,7,0,
5880,"ALVÉN, STEFAN",Nej,SWE,,1968-12-12,,MALMÖ FF,1991-1994,82,1,FR ASMUNDSTORP
5880,"ALVÉN, STEFAN",Nej,SWE,,1968-12-12,,DJURGÅRDENS IF,1995-1999,73,1,
5880,"ALVÉN, STEFAN",Nej,SWE,,1968-12-12,,IFK NORRKÖPING,2000-2001,35,1,
7144,ALYSSON,Nej,BRA,ALYSSON MARENDAZ MARINS,1976-05-26,,KALMAR FF,2002,9,2,
9989,"AMANE, ROMEO",Nej,ELF,,2003-02-20,,BK HÄCKEN,2022-2023,41,4,
8484,"AMARTEY, DANIEL",Nej,GHA,,1994-12-01,,DJURGÅRDENS IF,2013-2014,34,0,
4394,"AMBERNTSSON, PEDER",Nej,SWE,,1950-03-23,,ÖRGRYTE IS,1970-1973,56,2,
4394,"AMBERNTSSON, PEDER",Nej,SWE,,1950-03-23,,HALMSTADS BK,1975-1984,165,16,
9870,"AMBROZ, FILIP",Nej,KRO,,2003-12-01,,IFK GÖTEBORG,2021-2022,7,0,
9432,"AMIN, REWAN",Nej,NED,,1996-01-08,,DALKURD FF,2018,15,0,
9432,"AMIN, REWAN",Nej,NED,,1996-01-08,,ÖSTERSUNDS FK,2018-2020,50,1,
9485,"AMIN, SIMON",Nej,SWE,,1997-11-13,,ÖREBRO SK,2018-2020,38,0,
9682,"AMIOT, GREGOIRE",Nej,FRA,,1995-05-10,,FALKENBERGS FF,2020,12,0,
7076,"AMOAH, PATRICK",Nej,SWE/GH,,1986-08-18,,DJURGÅRDENS IF,2004-2007,40,4,
9975,"AMOAKO, JOSEPH",Nej,GHA,,2002-09-13,,HELSINGBORGS IF,2022,9,0,
7552,"AMOATENG, KWAME",Nej,SWE,,1987-08-08,,GAIS,2006,1,0,
9687,"AMOO, AKINKUNMI",Nej,NIG,,2002-06-07,,HAMMARBY IF,2020-2021,35,9,
9450,"AMOS, TOM",Ja,SWE,,1998-02-06,,IFK GÖTEBORG,2018-2019,4,0,
4395,"AMRI, MALKI",Nej,TUN,,1951-02-05,,HAMMARBY IF,1977,3,0,
6486,"AMUNDUSSON, PAUL",Nej,SWE,,1969-09-28,,PANOS LJUNGSKILE SK,1997,6,1,
7416,"AMUNEKE, KEVIN",Nej,NIG,,1986-10-05,,LANDSKRONA BoIS,2004-2005,36,14,KEVIN ONEYKACHI
